ICD_Start,ICD_End,Cause,Level
A00,A00.9,"Communicable, maternal, neonatal, and nutritional diseases",1
A01.0,A14,"Communicable, maternal, neonatal, and nutritional diseases",1
A15,A28.9,"Communicable, maternal, neonatal, and nutritional diseases",1
A32,A39.9,"Communicable, maternal, neonatal, and nutritional diseases",1
A48.1,A48.2,"Communicable, maternal, neonatal, and nutritional diseases",1
A48.4,A48.5,"Communicable, maternal, neonatal, and nutritional diseases",1
A50,A58,"Communicable, maternal, neonatal, and nutritional diseases",1
A60,A60.9,"Communicable, maternal, neonatal, and nutritional diseases",1
A63,A63.8,"Communicable, maternal, neonatal, and nutritional diseases",1
A65,A65.0,"Communicable, maternal, neonatal, and nutritional diseases",1
A68,A70,"Communicable, maternal, neonatal, and nutritional diseases",1
A74,A74,"Communicable, maternal, neonatal, and nutritional diseases",1
A74.8,A75.9,"Communicable, maternal, neonatal, and nutritional diseases",1
A77,A96.9,"Communicable, maternal, neonatal, and nutritional diseases",1
A98,A98.8,"Communicable, maternal, neonatal, and nutritional diseases",1
B00,B06.9,"Communicable, maternal, neonatal, and nutritional diseases",1
B10,B10.8,"Communicable, maternal, neonatal, and nutritional diseases",1
B15,B16.2,"Communicable, maternal, neonatal, and nutritional diseases",1
B17.0,B17.0,"Communicable, maternal, neonatal, and nutritional diseases",1
B17.2,B17.2,"Communicable, maternal, neonatal, and nutritional diseases",1
B19.1,B19.1,"Communicable, maternal, neonatal, and nutritional diseases",1
B20,B27.9,"Communicable, maternal, neonatal, and nutritional diseases",1
B29.4,B29.4,"Communicable, maternal, neonatal, and nutritional diseases",1
B33,B33.1,"Communicable, maternal, neonatal, and nutritional diseases",1
B33.3,B33.8,"Communicable, maternal, neonatal, and nutritional diseases",1
B47,B48.8,"Communicable, maternal, neonatal, and nutritional diseases",1
B50,B54.0,"Communicable, maternal, neonatal, and nutritional diseases",1
B55.0,B55.0,"Communicable, maternal, neonatal, and nutritional diseases",1
B56,B57.5,"Communicable, maternal, neonatal, and nutritional diseases",1
B60,B60.8,"Communicable, maternal, neonatal, and nutritional diseases",1
B63,B63,"Communicable, maternal, neonatal, and nutritional diseases",1
B65,B67.9,"Communicable, maternal, neonatal, and nutritional diseases",1
B69,B72.0,"Communicable, maternal, neonatal, and nutritional diseases",1
B74.3,B75,"Communicable, maternal, neonatal, and nutritional diseases",1
B77,B77.9,"Communicable, maternal, neonatal, and nutritional diseases",1
B83,B83.8,"Communicable, maternal, neonatal, and nutritional diseases",1
B90,B91,"Communicable, maternal, neonatal, and nutritional diseases",1
B94.1,B94.1,"Communicable, maternal, neonatal, and nutritional diseases",1
B95,B95.5,"Communicable, maternal, neonatal, and nutritional diseases",1
B97.4,B97.6,"Communicable, maternal, neonatal, and nutritional diseases",1
C58,C58.0,"Communicable, maternal, neonatal, and nutritional diseases",1
D50.1,D50.8,"Communicable, maternal, neonatal, and nutritional diseases",1
D51,D52.0,"Communicable, maternal, neonatal, and nutritional diseases",1
D52.8,D53.9,"Communicable, maternal, neonatal, and nutritional diseases",1
D70.3,D70.3,"Communicable, maternal, neonatal, and nutritional diseases",1
D89.3,D89.3,"Communicable, maternal, neonatal, and nutritional diseases",1
E00,E02,"Communicable, maternal, neonatal, and nutritional diseases",1
E40,E46.9,"Communicable, maternal, neonatal, and nutritional diseases",1
E51,E61.9,"Communicable, maternal, neonatal, and nutritional diseases",1
E63,E64.0,"Communicable, maternal, neonatal, and nutritional diseases",1
E64.2,E64.9,"Communicable, maternal, neonatal, and nutritional diseases",1
F02.1,F02.1,"Communicable, maternal, neonatal, and nutritional diseases",1
F02.4,F02.4,"Communicable, maternal, neonatal, and nutritional diseases",1
F07.1,F07.1,"Communicable, maternal, neonatal, and nutritional diseases",1
G00.0,G00.8,"Communicable, maternal, neonatal, and nutritional diseases",1
G03,G03.8,"Communicable, maternal, neonatal, and nutritional diseases",1
G04,G05.8,"Communicable, maternal, neonatal, and nutritional diseases",1
G14,G14.6,"Communicable, maternal, neonatal, and nutritional diseases",1
G21.3,G21.3,"Communicable, maternal, neonatal, and nutritional diseases",1
H70,H70.9,"Communicable, maternal, neonatal, and nutritional diseases",1
I00,I00,"Communicable, maternal, neonatal, and nutritional diseases",1
I02,I02,"Communicable, maternal, neonatal, and nutritional diseases",1
